Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,cost_per_ticket,region,vendor,duration
ID0001,Diane,2021-01-01,9:12:58,Contract related,Y,Y,109.0,0:02:23,3.0,21.08,EMEA,Vendor3,109.0
ID0002,Becky,2021-01-01,9:12:58,Technical Support,Y,N,70.0,0:04:02,3.0,21.17,NA,Vendor3,70.0
ID0003,Stewart,2021-01-01,9:47:31,Contract related,Y,Y,10.0,0:02:11,3.0,8.44,NA,Vendor2,10.0
ID0004,Greg,2021-01-01,9:47:31,Contract related,Y,Y,53.0,0:00:37,2.0,13.27,LATAM,Vendor1,53.0
ID0005,Becky,2021-01-01,10:00:29,Payment related,Y,Y,95.0,0:01:00,3.0,13.03,LATAM,Vendor3,95.0
ID0006,Stewart,2021-01-01,10:00:29,Technical Support,N,N,,,,46.13,APAC,Vendor2,
ID0007,Diane,2021-01-01,10:22:05,Payment related,Y,Y,24.0,0:03:40,2.0,47.55,NA,Vendor1,24.0
ID0008,Diane,2021-01-01,10:22:05,Payment related,Y,Y,22.0,0:00:38,4.0,20.56,EMEA,Vendor1,22.0
ID0009,Greg,2021-01-01,11:13:55,Admin Support,Y,Y,15.0,0:06:38,4.0,46.57,NA,Vendor2,15.0
ID0010,Jim,2021-01-01,11:13:55,Streaming,Y,Y,78.0,0:01:04,3.0,7.26,EMEA,Vendor2,78.0
ID0011,Joe,2021-01-01,11:15:22,Payment related,N,N,,,,11.07,LATAM,Vendor2,
ID0012,Greg,2021-01-01,11:15:22,Payment related,Y,Y,50.0,0:00:32,4.0,26.49,LATAM,Vendor1,50.0
ID0013,Joe,2021-01-01,11:52:48,Payment related,Y,Y,84.0,0:03:34,3.0,27.74,EMEA,Vendor2,84.0
ID0014,Martha,2021-01-01,11:52:48,Contract related,Y,Y,89.0,0:05:44,3.0,44.03,APAC,Vendor1,89.0
ID0015,Becky,2021-01-01,11:55:41,Admin Support,Y,Y,48.0,0:03:47,4.0,24.61,APAC,Vendor2,48.0
ID0016,Becky,2021-01-01,11:55:41,Admin Support,Y,Y,63.0,0:05:26,2.0,24.37,EMEA,Vendor3,63.0
ID0017,Greg,2021-01-01,11:57:07,Technical Support,Y,Y,45.0,0:05:32,5.0,37.2,EMEA,Vendor3,45.0
ID0018,Becky,2021-01-01,11:57:07,Admin Support,N,N,,,,42.08,LATAM,Vendor1,
ID0019,Jim,2021-01-01,12:01:26,Streaming,N,N,,,,21.38,APAC,Vendor2,
ID0020,Jim,2021-01-01,12:01:26,Contract related,Y,Y,101.0,0:02:27,3.0,43.12,NA,Vendor2,101.0
ID0021,Jim,2021-01-01,12:02:53,Technical Support,Y,Y,74.0,0:05:22,5.0,19.81,EMEA,Vendor1,74.0
ID0022,Dan,2021-01-01,12:02:53,Admin Support,Y,Y,89.0,0:05:50,5.0,35.04,NA,Vendor1,89.0
ID0023,Martha,2021-01-01,12:02:53,Technical Support,N,N,,,,19.26,APAC,Vendor1,
ID0024,Joe,2021-01-01,12:02:53,Technical Support,Y,Y,68.0,0:05:25,2.0,12.54,APAC,Vendor2,68.0
ID0025,Diane,2021-01-01,12:30:14,Streaming,Y,Y,97.0,0:04:09,3.0,23.58,NA,Vendor3,97.0
ID0026,Dan,2021-01-01,12:30:14,Payment related,N,N,,,,41.55,EMEA,Vendor2,
ID0027,Joe,2021-01-01,12:40:19,Streaming,Y,Y,39.0,0:04:00,3.0,32.72,EMEA,Vendor3,39.0
ID0028,Martha,2021-01-01,12:40:19,Contract related,Y,Y,51.0,0:02:34,4.0,47.31,EMEA,Vendor2,51.0
ID0029,Joe,2021-01-01,12:40:19,Technical Support,Y,Y,106.0,0:02:09,4.0,21.79,NA,Vendor3,106.0
ID0030,Stewart,2021-01-01,12:40:19,Streaming,Y,Y,107.0,0:05:55,3.0,41.1,APAC,Vendor2,107.0
ID0031,Joe,2021-01-01,13:24:58,Admin Support,Y,Y,22.0,0:05:08,3.0,48.74,EMEA,Vendor3,22.0
ID0032,Joe,2021-01-01,13:24:58,Streaming,Y,Y,122.0,0:02:08,4.0,14.93,APAC,Vendor1,122.0
ID0033,Diane,2021-01-01,13:33:36,Technical Support,Y,Y,57.0,0:06:49,3.0,13.31,NA,Vendor1,57.0
ID0034,Jim,2021-01-01,13:33:36,Payment related,Y,N,53.0,0:01:44,2.0,32.06,LATAM,Vendor3,53.0
ID0035,Becky,2021-01-01,13:42:14,Streaming,Y,Y,119.0,0:01:31,5.0,34.65,EMEA,Vendor3,119.0
ID0036,Diane,2021-01-01,13:42:14,Streaming,N,N,,,,29.54,NA,Vendor3,
ID0037,Martha,2021-01-01,13:42:14,Technical Support,Y,N,20.0,0:01:12,2.0,46.46,APAC,Vendor2,20.0
ID0038,Joe,2021-01-01,13:42:14,Technical Support,Y,Y,52.0,0:00:36,3.0,26.61,EMEA,Vendor3,52.0
ID0039,Stewart,2021-01-01,14:38:24,Contract related,Y,Y,74.0,0:06:41,1.0,24.24,LATAM,Vendor1,74.0
ID0040,Greg,2021-01-01,14:38:24,Technical Support,Y,Y,49.0,0:02:29,3.0,18.54,LATAM,Vendor1,49.0
ID0041,Jim,2021-01-01,14:47:02,Technical Support,Y,Y,27.0,0:02:09,5.0,29.48,EMEA,Vendor3,27.0
ID0042,Greg,2021-01-01,14:47:02,Contract related,Y,Y,100.0,0:04:54,5.0,36.41,APAC,Vendor2,100.0
ID0043,Diane,2021-01-01,14:47:02,Technical Support,Y,Y,45.0,0:06:21,3.0,29.09,NA,Vendor2,45.0
ID0044,Becky,2021-01-01,14:47:02,Payment related,Y,Y,98.0,0:03:14,5.0,39.71,EMEA,Vendor3,98.0
ID0045,Diane,2021-01-01,15:44:38,Admin Support,Y,Y,25.0,0:05:13,5.0,41.56,NA,Vendor2,25.0
ID0046,Jim,2021-01-01,15:44:38,Contract related,N,N,,,,36.54,EMEA,Vendor2,
ID0047,Dan,2021-01-01,17:13:55,Admin Support,Y,Y,107.0,0:02:22,3.0,34.9,APAC,Vendor1,107.0
ID0048,Martha,2021-01-01,17:13:55,Contract related,N,N,,,,41.67,APAC,Vendor3,
ID0049,Joe,2021-01-01,17:25:26,Technical Support,Y,Y,104.0,0:03:35,5.0,34.32,LATAM,Vendor2,104.0
ID0050,Dan,2021-01-01,17:25:26,Technical Support,N,N,,,,16.58,APAC,Vendor1,
ID0051,Martha,2021-01-01,17:35:31,Contract related,N,N,,,,24.31,LATAM,Vendor2,
ID0052,Jim,2021-01-01,17:35:31,Admin Support,N,N,,,,5.06,NA,Vendor1,
ID0053,Stewart,2021-01-01,17:36:58,Payment related,Y,Y,13.0,0:01:15,5.0,38.18,NA,Vendor1,13.0
ID0054,Dan,2021-01-01,17:36:58,Payment related,Y,Y,119.0,0:02:32,5.0,34.85,APAC,Vendor3,119.0
ID0055,Becky,2021-01-01,17:44:10,Streaming,Y,Y,35.0,0:01:19,3.0,47.4,NA,Vendor1,35.0
ID0056,Dan,2021-01-01,17:44:10,Streaming,Y,Y,83.0,0:06:45,4.0,7.52,APAC,Vendor1,83.0
ID0057,Jim,2021-01-01,17:57:07,Technical Support,Y,Y,48.0,0:02:52,2.0,49.37,APAC,Vendor1,48.0
ID0058,Stewart,2021-01-01,17:57:07,Admin Support,Y,Y,45.0,0:03:23,5.0,34.91,APAC,Vendor3,45.0
ID0059,Dan,2021-01-02,9:05:46,Technical Support,Y,Y,65.0,0:06:00,5.0,48.96,LATAM,Vendor2,65.0
ID0060,Dan,2021-01-02,9:05:46,Contract related,Y,Y,50.0,0:04:26,3.0,17.94,NA,Vendor2,50.0
ID0061,Diane,2021-01-02,9:18:43,Streaming,Y,Y,17.0,0:06:15,3.0,22.31,EMEA,Vendor3,17.0
ID0062,Joe,2021-01-02,9:18:43,Technical Support,N,N,,,,39.64,EMEA,Vendor2,
ID0063,Dan,2021-01-02,9:20:10,Streaming,Y,Y,96.0,0:06:46,1.0,18.89,NA,Vendor2,96.0
ID0064,Stewart,2021-01-02,9:20:10,Streaming,Y,Y,90.0,0:06:23,3.0,14.64,LATAM,Vendor1,90.0
ID0065,Jim,2021-01-02,9:38:53,Contract related,Y,Y,98.0,0:06:25,2.0,10.85,LATAM,Vendor1,98.0
ID0066,Diane,2021-01-02,9:38:53,Technical Support,Y,N,90.0,0:01:23,4.0,39.38,LATAM,Vendor1,90.0
ID0067,Jim,2021-01-02,10:04:48,Contract related,Y,Y,98.0,0:05:49,5.0,25.46,LATAM,Vendor3,98.0
ID0068,Jim,2021-01-02,10:04:48,Contract related,Y,Y,70.0,0:03:12,5.0,48.34,LATAM,Vendor3,70.0
ID0069,Diane,2021-01-02,10:33:36,Contract related,Y,Y,69.0,0:04:45,4.0,14.92,EMEA,Vendor2,69.0
ID0070,Diane,2021-01-02,10:33:36,Admin Support,N,N,,,,16.94,APAC,Vendor3,
ID0071,Joe,2021-01-02,11:08:10,Technical Support,Y,Y,120.0,0:02:11,4.0,29.27,EMEA,Vendor2,120.0
ID0072,Stewart,2021-01-02,11:08:10,Admin Support,Y,Y,113.0,0:05:51,5.0,30.24,EMEA,Vendor1,113.0
ID0073,Greg,2021-01-02,11:26:53,Payment related,Y,N,10.0,0:02:19,5.0,35.54,LATAM,Vendor3,10.0
ID0074,Becky,2021-01-02,11:26:53,Contract related,Y,Y,122.0,0:04:53,1.0,38.8,EMEA,Vendor1,122.0
ID0075,Stewart,2021-01-02,11:42:43,Technical Support,Y,N,125.0,0:01:38,3.0,24.99,LATAM,Vendor2,125.0
ID0076,Diane,2021-01-02,11:42:43,Admin Support,N,N,,,,11.74,APAC,Vendor3,
ID0077,Martha,2021-01-02,11:47:02,Technical Support,Y,Y,33.0,0:06:38,2.0,48.87,EMEA,Vendor1,33.0
ID0078,Dan,2021-01-02,11:47:02,Contract related,Y,Y,51.0,0:06:22,2.0,36.63,EMEA,Vendor1,51.0
ID0079,Becky,2021-01-02,11:54:14,Contract related,Y,Y,58.0,0:03:28,3.0,8.01,NA,Vendor2,58.0
ID0080,Dan,2021-01-02,11:54:14,Admin Support,Y,Y,121.0,0:04:47,5.0,46.62,LATAM,Vendor1,121.0
ID0081,Diane,2021-01-02,12:00:00,Admin Support,Y,Y,118.0,0:02:06,4.0,26.35,EMEA,Vendor2,118.0
ID0082,Greg,2021-01-02,12:00:00,Payment related,Y,Y,52.0,0:06:56,4.0,34.2,LATAM,Vendor2,52.0
ID0083,Stewart,2021-01-02,12:20:10,Admin Support,Y,Y,55.0,0:04:44,3.0,15.34,LATAM,Vendor3,55.0
ID0084,Dan,2021-01-02,12:20:10,Contract related,Y,Y,68.0,0:05:59,4.0,10.21,EMEA,Vendor1,68.0
ID0085,Becky,2021-01-02,12:41:46,Technical Support,Y,Y,106.0,0:04:22,5.0,29.32,APAC,Vendor2,106.0
ID0086,Martha,2021-01-02,12:41:46,Technical Support,Y,Y,32.0,0:04:36,3.0,15.93,LATAM,Vendor1,32.0
ID0087,Jim,2021-01-02,12:44:38,Payment related,N,N,,,,27.43,EMEA,Vendor3,
ID0088,Martha,2021-01-02,12:44:38,Admin Support,Y,N,45.0,0:01:26,4.0,45.24,NA,Vendor1,45.0
ID0089,Joe,2021-01-02,12:59:02,Technical Support,Y,Y,119.0,0:03:32,4.0,45.49,NA,Vendor1,119.0
ID0090,Dan,2021-01-02,12:59:02,Streaming,N,N,,,,27.87,LATAM,Vendor1,
ID0091,Jim,2021-01-02,13:03:22,Contract related,Y,Y,46.0,0:05:41,1.0,24.45,APAC,Vendor1,46.0
ID0092,Stewart,2021-01-02,13:03:22,Technical Support,Y,Y,101.0,0:01:28,3.0,27.87,LATAM,Vendor2,101.0
ID0093,Jim,2021-01-02,13:04:48,Technical Support,Y,Y,56.0,0:02:52,3.0,32.05,LATAM,Vendor2,56.0
ID0094,Becky,2021-01-02,13:04:48,Technical Support,Y,Y,80.0,0:00:53,3.0,6.69,NA,Vendor3,80.0
ID0095,Diane,2021-01-02,13:13:26,Streaming,Y,Y,24.0,0:01:36,3.0,40.53,EMEA,Vendor2,24.0
ID0096,Stewart,2021-01-02,13:13:26,Payment related,Y,Y,113.0,0:03:54,2.0,40.53,LATAM,Vendor1,113.0
ID0097,Greg,2021-01-02,13:20:38,Contract related,Y,Y,19.0,0:02:03,4.0,38.83,EMEA,Vendor1,19.0
ID0098,Martha,2021-01-02,13:20:38,Streaming,N,N,,,,45.99,APAC,Vendor3,
ID0099,Dan,2021-01-02,13:20:38,Contract related,Y,Y,45.0,0:06:37,3.0,31.43,APAC,Vendor3,45.0
ID0100,Diane,2021-01-02,13:20:38,Technical Support,Y,Y,95.0,0:05:11,1.0,5.97,NA,Vendor2,95.0
ID0101,Becky,2021-01-02,13:45:07,Technical Support,N,N,,,,12.72,LATAM,Vendor1,
ID0102,Martha,2021-01-02,13:45:07,Technical Support,Y,N,79.0,0:05:31,1.0,23.21,NA,Vendor2,79.0
ID0103,Diane,2021-01-02,13:49:26,Payment related,Y,Y,22.0,0:03:56,2.0,14.92,APAC,Vendor3,22.0
ID0104,Martha,2021-01-02,13:49:26,Contract related,Y,Y,38.0,0:06:36,1.0,16.36,LATAM,Vendor2,38.0
ID0105,Becky,2021-01-02,13:53:46,Technical Support,Y,Y,112.0,0:03:25,5.0,5.62,LATAM,Vendor2,112.0
ID0106,Becky,2021-01-02,13:53:46,Payment related,Y,Y,65.0,0:04:57,3.0,39.79,EMEA,Vendor2,65.0
ID0107,Joe,2021-01-02,14:22:34,Streaming,N,N,,,,33.61,EMEA,Vendor2,
ID0108,Becky,2021-01-02,14:22:34,Contract related,Y,N,55.0,0:02:32,1.0,41.42,NA,Vendor1,55.0
ID0109,Stewart,2021-01-02,14:52:48,Admin Support,N,N,,,,19.16,APAC,Vendor1,
ID0110,Joe,2021-01-02,14:52:48,Streaming,Y,Y,19.0,0:02:38,2.0,44.28,EMEA,Vendor2,19.0
ID0111,Becky,2021-01-02,15:10:05,Technical Support,Y,Y,53.0,0:00:56,3.0,6.53,EMEA,Vendor3,53.0
ID0112,Diane,2021-01-02,15:10:05,Technical Support,Y,Y,24.0,0:06:06,5.0,34.98,APAC,Vendor3,24.0
ID0113,Martha,2021-01-02,15:36:00,Streaming,Y,Y,73.0,0:06:01,3.0,19.8,APAC,Vendor1,73.0
ID0114,Stewart,2021-01-02,15:36:00,Technical Support,N,N,,,,13.86,NA,Vendor1,
ID0115,Jim,2021-01-02,17:36:58,Technical Support,Y,Y,55.0,0:05:47,5.0,5.11,APAC,Vendor3,55.0
ID0116,Greg,2021-01-02,17:36:58,Payment related,N,N,,,,47.99,LATAM,Vendor1,
ID0117,Diane,2021-01-02,17:47:02,Streaming,N,N,,,,30.88,LATAM,Vendor2,
ID0118,Martha,2021-01-02,17:47:02,Streaming,Y,Y,23.0,0:05:18,4.0,44.98,APAC,Vendor1,23.0
ID0119,Dan,2021-01-03,9:10:05,Payment related,Y,N,124.0,0:02:23,5.0,46.51,APAC,Vendor1,124.0
ID0120,Dan,2021-01-03,9:10:05,Contract related,N,N,,,,32.85,EMEA,Vendor2,
ID0121,Dan,2021-01-03,9:47:31,Technical Support,Y,Y,103.0,0:01:01,4.0,28.38,NA,Vendor2,103.0
ID0122,Martha,2021-01-03,9:47:31,Contract related,Y,Y,69.0,0:03:45,4.0,20.96,EMEA,Vendor1,69.0
ID0123,Joe,2021-01-03,10:29:17,Streaming,Y,Y,78.0,0:01:12,3.0,35.52,APAC,Vendor1,78.0
ID0124,Martha,2021-01-03,10:29:17,Technical Support,Y,Y,78.0,0:03:26,5.0,19.69,NA,Vendor2,78.0
ID0125,Martha,2021-01-03,10:37:55,Technical Support,N,N,,,,31.12,LATAM,Vendor1,
ID0126,Diane,2021-01-03,10:37:55,Payment related,Y,Y,44.0,0:05:38,4.0,18.67,APAC,Vendor1,44.0
ID0127,Martha,2021-01-03,10:52:19,Admin Support,Y,Y,35.0,0:02:46,4.0,9.02,EMEA,Vendor1,35.0
ID0128,Becky,2021-01-03,10:52:19,Admin Support,Y,Y,102.0,0:05:26,4.0,38.84,NA,Vendor3,102.0
ID0129,Jim,2021-01-03,10:52:19,Contract related,Y,Y,99.0,0:05:51,3.0,42.78,APAC,Vendor3,99.0
ID0130,Jim,2021-01-03,10:52:19,Admin Support,Y,Y,29.0,0:04:09,3.0,22.33,APAC,Vendor3,29.0
ID0131,Becky,2021-01-03,10:58:05,Admin Support,Y,N,42.0,0:00:59,5.0,13.84,NA,Vendor3,42.0
ID0132,Diane,2021-01-03,10:58:05,Payment related,Y,Y,113.0,0:05:40,4.0,19.69,EMEA,Vendor2,113.0
ID0133,Dan,2021-01-03,11:02:24,Admin Support,Y,Y,124.0,0:00:53,2.0,19.1,NA,Vendor2,124.0
ID0134,Jim,2021-01-03,11:02:24,Technical Support,N,N,,,,40.56,EMEA,Vendor2,
ID0135,Dan,2021-01-03,11:03:50,Payment related,Y,Y,55.0,0:02:13,1.0,48.16,LATAM,Vendor1,55.0
ID0136,Greg,2021-01-03,11:03:50,Technical Support,Y,N,105.0,0:05:59,3.0,24.1,NA,Vendor2,105.0
ID0137,Stewart,2021-01-03,11:06:43,Contract related,Y,N,112.0,0:03:12,5.0,9.87,LATAM,Vendor3,112.0
ID0138,Martha,2021-01-03,11:06:43,Contract related,N,N,,,,29.29,NA,Vendor3,
ID0139,Becky,2021-01-03,11:16:48,Technical Support,Y,Y,43.0,0:06:20,5.0,7.48,LATAM,Vendor1,43.0
ID0140,Joe,2021-01-03,11:16:48,Payment related,Y,Y,20.0,0:01:44,3.0,12.75,LATAM,Vendor3,20.0
ID0141,Greg,2021-01-03,11:26:53,Technical Support,Y,Y,84.0,0:01:43,5.0,28.34,APAC,Vendor2,84.0
ID0142,Jim,2021-01-03,11:26:53,Contract related,Y,Y,20.0,0:02:44,4.0,34.99,APAC,Vendor3,20.0
ID0143,Greg,2021-01-03,11:38:24,Streaming,Y,Y,101.0,0:02:16,3.0,17.29,EMEA,Vendor3,101.0
ID0144,Diane,2021-01-03,11:38:24,Technical Support,Y,Y,31.0,0:02:55,5.0,19.47,EMEA,Vendor1,31.0
ID0145,Jim,2021-01-03,11:52:48,Contract related,Y,Y,56.0,0:04:09,5.0,22.98,APAC,Vendor3,56.0
ID0146,Joe,2021-01-03,11:52:48,Contract related,N,N,,,,15.81,APAC,Vendor1,
ID0147,Joe,2021-01-03,11:55:41,Payment related,Y,Y,77.0,0:01:27,5.0,12.51,EMEA,Vendor2,77.0
ID0148,Jim,2021-01-03,11:55:41,Payment related,Y,Y,46.0,0:00:50,4.0,12.91,NA,Vendor1,46.0
ID0149,Stewart,2021-01-03,11:58:34,Admin Support,Y,Y,88.0,0:04:26,3.0,37.51,APAC,Vendor1,88.0
ID0150,Diane,2021-01-03,11:58:34,Payment related,Y,Y,88.0,0:00:58,1.0,12.49,EMEA,Vendor1,88.0
ID0151,Joe,2021-01-03,12:33:07,Technical Support,Y,Y,124.0,0:06:03,1.0,21.38,APAC,Vendor1,124.0
ID0152,Stewart,2021-01-03,12:33:07,Contract related,N,N,,,,15.31,EMEA,Vendor1,
ID0153,Martha,2021-01-03,12:54:43,Payment related,Y,N,52.0,0:06:59,4.0,27.82,APAC,Vendor2,52.0
ID0154,Joe,2021-01-03,12:54:43,Admin Support,Y,Y,67.0,0:06:10,5.0,15.62,LATAM,Vendor1,67.0
ID0155,Martha,2021-01-03,13:12:00,Payment related,Y,Y,119.0,0:04:16,3.0,44.28,APAC,Vendor3,119.0
ID0156,Dan,2021-01-03,13:12:00,Admin Support,Y,Y,98.0,0:04:37,2.0,29.2,APAC,Vendor2,98.0
ID0157,Jim,2021-01-03,13:14:53,Technical Support,N,N,,,,42.5,APAC,Vendor3,
ID0158,Joe,2021-01-03,13:14:53,Technical Support,Y,Y,118.0,0:04:18,3.0,46.65,LATAM,Vendor3,118.0
ID0159,Becky,2021-01-03,13:27:50,Admin Support,Y,Y,123.0,0:01:15,3.0,21.64,NA,Vendor2,123.0
